target_idx,correct_form,wrong_form,n_attractors,sentence_grammatical,sentence_ungrammatical,sentence_length,source_idx
2,are,is,0,"Delete arguments are more numerous and more convincing, particularly as the one keep voter admits that we lack secondary sources.","Delete arguments is more numerous and more convincing, particularly as the one keep voter admits that we lack secondary sources.",20,6346
6,try,tries,0,With the quark flavor the theorists try to get back the causality principle to physics.,With the quark flavor the theorists tries to get back the causality principle to physics.,15,4243
12,bring,brings,0,"Morris's theory is inconsistent with the fact that male cats also bring home prey, despite males having no involvement with raising kittens.","Morris's theory is inconsistent with the fact that male cats also brings home prey, despite males having no involvement with raising kittens.",22,2109
2,pays,pay,0,"The traveller pays the vat over goods in the shop, and can request for a refund when exporting the goods.","The traveller pay the vat over goods in the shop, and can request for a refund when exporting the goods.",20,2397
7,falls,fall,0,"If he falls asleep and his head falls, the signal will no longer be blocked and the movie will pause.","If he falls asleep and his head fall, the signal will no longer be blocked and the movie will pause.",20,4661
4,believe,believes,0,"Indeed, most historians believe that the western wall became a popular prayer area only after the ottoman conquest of jerusalem in 1517.","Indeed, most historians believes that the western wall became a popular prayer area only after the ottoman conquest of jerusalem in 1517.",22,7379
2,specializes,specialize,0,The institute specializes in applying computer tools to analysis of dna and protein sequence information.,The institute specialize in applying computer tools to analysis of dna and protein sequence information.,15,6294
6,exist,exists,0,"Also, note that sometimes references exist, but do nothing other than verify ""at local stadium x, dmb played (review concert).","Also, note that sometimes references exists, but do nothing other than verify ""at local stadium x, dmb played (review concert).",20,186
2,connects,connect,0,The highway connects the city to thunder bay to the northwest and sudbury to the east.,The highway connect the city to thunder bay to the northwest and sudbury to the east.,16,3538
14,suggests,suggest,0,"Bowl scrapers (also known as rubber feet) are, as the name suggests, used to remove material from mixing bowls.","Bowl scrapers (also known as rubber feet) are, as the name suggest, used to remove material from mixing bowls.",19,4315
3,features,feature,0,"The book also features the characters of gideon beech, a fictionalised george bernard shaw, and (briefly) john cleavis, a fictionalised c.","The book also feature the characters of gideon beech, a fictionalised george bernard shaw, and (briefly) john cleavis, a fictionalised c.",21,811
3,is,are,0,"The next step is to hire one of the boats going out to the reserve's main attractions, isla damas, isla choros and isla chañaral.","The next step are to hire one of the boats going out to the reserve's main attractions, isla damas, isla choros and isla chañaral.",24,5361
3,occurs,occur,0,"If hair loss occurs in a young man with no family history, drug use could be the cause.","If hair loss occur in a young man with no family history, drug use could be the cause.",18,6342
3,have,has,0,Presumed mature males have the first ray of the dorsal and pectoral fins extended into filaments except in c.,Presumed mature males has the first ray of the dorsal and pectoral fins extended into filaments except in c.,19,6746
4,is,are,0,"Medusa's main objection is to ""the depiction of perverse sex in the witch gathering satanic scenes and one cannibal killing of a major character.","Medusa's main objection are to ""the depiction of perverse sex in the witch gathering satanic scenes and one cannibal killing of a major character.",24,2848
11,is,are,0,It is very important to avoid any chewing until the surgeon is satisfied with the healing.,It is very important to avoid any chewing until the surgeon are satisfied with the healing.,16,4929
8,becomes,become,0,De 1a passes more residences before the road becomes undivided again and comes to an intersection with christian street.,De 1a passes more residences before the road become undivided again and comes to an intersection with christian street.,19,4475
12,include,includes,0,"Additionally, gisbert is a founding member of convergence, whose members include paul romaine on drums and jon gunther on saxophone.","Additionally, gisbert is a founding member of convergence, whose members includes paul romaine on drums and jon gunther on saxophone.",20,2054
